Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,-0.132053887023907,0.170974105213661,0.172301006119099,0,0,0,0.428880785184515,0.000572262303778292,-2.60585496057888E-05,2.8321248485113E-07,0.000750933942870594,7.11227235560249E-09,0.00109323645237971,0,0,0,0,0,0,package://drone_model/meshes/Body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_model/meshes/Body.STL,,FlameWheel_F450-1/FlameWheel_F450_Arm_Red-1;FlameWheel_F450-1/FlameWheel_F450_Base_Top-1;FlameWheel_F450-1/FlameWheel_F450_Arm_White-2;FlameWheel_F450-1/FlameWheel_F450_Arm_White-1;FlameWheel_F450-1;Battery 3300mAH-1;gps stand-1;Landing Gear-1;Landing Gear-2;Landing Gear-4;Landing Gear-3;BR4114 Motor Assy-1/Stator 4114-1;BR4114 Motor Assy-1/Motor Rear 4114-1;BR4114 Motor Assy-4/Stator 4114-1;BR4114 Motor Assy-4/Motor Rear 4114-1;BR4114 Motor Assy-3/Stator 4114-1;BR4114 Motor Assy-3/Motor Rear 4114-1;BR4114 Motor Assy-2/Motor Rear 4114-1;BR4114 Motor Assy-2/Stator 4114-1;PX4 Neo M8N GPS-1;FlameWheel_F450-1/FlameWheel_F450_Arm_Red-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
anti-clockwise-front,4.26922057150669E-08,1.30033290135501E-07,0.0171342221881982,0,0,0,0.00578301567549862,2.19297321285954E-06,-3.85185584678438E-07,4.92926400470329E-13,1.07618958223177E-06,2.95357508077207E-12,2.89451378374848E-06,0,0,0,0,0,0,package://drone_model/meshes/anti-clockwise-front.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_model/meshes/anti-clockwise-front.STL,,BR4114 Motor Assy-2/Motor Front 4114-1;Propeller 5x5-3,Origin_anti-clockwise,Axis_anti-clockwise,anti-clockwise,continuous,-0.263180221040741,-0.00535771656535831,0.194310207147912,0,0,-0.702921360219603,Body,0,0,1,,,,,,,,,,,,
anti-clockwise-back,1.22649345464521E-07,0.0171342231577895,-1.5043526813141E-08,0,0,0,0.00578301628897223,9.57423445648343E-07,3.40486731204543E-12,4.02686042471731E-08,2.89451514548264E-06,-8.91843024705958E-14,2.31174071028298E-06,0,0,0,0,0,0,package://drone_model/meshes/anti-clockwise-back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_model/meshes/anti-clockwise-back.STL,,Propeller 5x5-2;BR4114 Motor Assy-4/Motor Front 4114-1,Origin_anti-clockwise2,Axis_anti-clockwise2,anti-clockwise,continuous,0.00687243562347602,0.353921479670167,0.194310207147912,1.5707963267949,0,-3.12886657215198,Body,0,1,0,,,,,,,,,,,,
clockwise-front,1.23317755562624E-07,0.0171342221871094,-1.77451845717602E-08,0,0,0,0.0057830156750858,9.57423088598684E-07,3.38556139574804E-12,4.02693734770739E-08,2.89451378381386E-06,-3.8697642575689E-15,2.31173970654585E-06,0,0,0,0,0,0,package://drone_model/meshes/clockwise-front.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_model/meshes/clockwise-front.STL,,Propeller 5x5-1;BR4114 Motor Assy-1/Motor Front 4114-1,Origin_clockwise,Axis_clockwise,clockwise,continuous,-0.307793490826392,0.309308209884516,0.194310207147912,1.5707963267949,0,2.6414408705233,Body,0,1,0,,,,,,,,,,,,
clockwise-back,1.27205995230362E-07,-0.0166622581215348,-2.28644006505796E-08,0,0,0,0.00578301567517889,9.57420867834833E-07,2.81403069702918E-12,4.02700243594539E-08,2.89451378365905E-06,-4.31313069323929E-13,2.31174192715785E-06,0,0,0,0,0,0,package://drone_model/meshes/clockwise-back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://drone_model/meshes/clockwise-back.STL,,Propeller 5x5-4;BR4114 Motor Assy-3/Motor Front 4114-1,Origin_clockwise2,Axis_clockwise2,clockwise,continuous,0.0514857054091275,0.0392555532202922,0.194310207147912,-1.5707963267949,0,2.92653809044825,Body,0,1,0,,,,,,,,,,,,
